age,sexe,situation_familiale,revenu_mensuel,type_contrat_travail,anciennete_travail_mois,montant_credit,duree_mois,taux_interet,type_credit,nb_retards_30j,nb_retards_60j,nb_retards_90j,taux_endettement,ratio_dette_revenu,defaut,probabilite_defaut,prediction_defaut
22,H,marie,445863,CDI,115,627218,45,5.25,conso,0,0,0,69.62,1.41,1,0.9445563171681599,1
46,F,celibataire,1300531,CDD,156,2837120,67,7.37,immobilier,0,0,0,75.69,2.18,1,0.9780629837203011,1
64,F,marie,349594,CDD,207,4982120,67,11.7,scolaire,0,0,1,11.49,14.25,1,0.9999999999986007,1
21,H,marie,1262573,Informel,147,4832095,15,15.39,immobilier,0,1,0,25.92,3.83,1,0.8077730341732992,1
29,F,celibataire,553267,CDD,204,4185892,16,8.45,conso,0,0,0,60.63,7.57,1,0.9999934463797086,1
62,H,marie,130272,Independant,48,2844636,67,8.22,auto,1,0,0,45.47,21.84,1,0.9999999999999987,1
19,F,celibataire,1133886,CDI,2,446743,61,10.02,conso,0,0,0,76.19,0.39,1,0.6966814077097532,1
44,F,divorce,1160393,CDI,139,2835579,54,12.67,auto,0,0,0,34.19,2.44,0,0.2779311713432349,0
48,F,divorce,566160,CDD,172,4295842,21,14.27,scolaire,1,0,0,5.25,7.59,1,0.9907667687421294,1
53,F,divorce,1053283,CDD,101,3175550,14,7.9,scolaire,0,0,0,6.48,3.01,1,0.022267439673983598,0
53,F,celibataire,820176,Independant,187,594531,38,11.8,scolaire,1,0,0,47.36,0.72,0,0.08688756283319612,0
43,H,celibataire,162641,Informel,128,4145925,40,8.84,conso,0,0,0,61.41,25.49,1,1.0,1
60,H,marie,122311,CDI,59,3044955,44,13.75,immobilier,1,0,0,64.3,24.9,1,1.0,1
44,F,marie,1280534,Informel,120,1173224,30,5.47,immobilier,1,0,0,73.36,0.92,1,0.7940339136808364,1
22,H,marie,439571,Independant,38,344203,61,6.85,conso,0,0,0,22.18,0.78,0,0.0111508854500806,0
37,F,marie,1292910,CDI,153,2744218,53,9.39,immobilier,0,0,1,60.38,2.12,1,0.9999951337478844,1
28,H,marie,473238,Independant,107,387621,15,16.34,conso,1,0,0,67.03,0.82,1,0.833622151999371,1
27,F,celibataire,867560,CDD,21,3783869,46,11.6,immobilier,1,1,1,67.72,4.36,1,0.9999999774976044,1
57,F,celibataire,1291970,Independant,42,2691441,64,17.48,auto,0,1,0,35.87,2.08,0,0.18386381811157335,0
55,F,divorce,128929,CDD,164,52700,33,4.55,scolaire,0,0,0,51.95,0.41,1,0.16661723232674203,0
23,H,divorce,685984,Informel,137,3082741,46,9.9,immobilier,0,0,0,46.37,4.49,1,0.993870216660592,1
25,H,divorce,457389,CDI,140,4701403,71,9.29,conso,2,0,0,49.81,10.28,1,0.9999998137520538,1
40,F,divorce,876240,CDI,10,4519787,56,12.0,auto,0,0,0,26.15,5.16,1,0.9495854815015804,1
64,F,celibataire,526098,Informel,187,3080490,67,15.18,immobilier,0,0,0,56.24,5.86,1,0.9997247202255913,1
43,H,celibataire,888157,CDD,238,4493430,35,15.62,immobilier,0,0,0,58.25,5.06,1,0.9994221439241888,1
63,H,celibataire,1463254,CDI,133,3927708,45,13.05,conso,0,0,0,19.7,2.68,0,0.05326916358636513,0
60,H,marie,1430670,Independant,33,2011386,45,12.62,auto,2,0,1,38.27,1.41,1,0.9996000775467466,1
29,H,marie,163576,CDD,69,1390263,67,17.24,scolaire,0,1,0,36.66,8.5,1,0.9999890141218166,1
43,H,divorce,100557,CDI,80,872362,20,8.76,conso,0,0,0,61.17,8.68,1,0.9999990954993044,1
30,F,marie,626113,Independant,191,2338897,8,15.49,immobilier,0,0,0,54.99,3.74,1,0.992232689280106,1
57,H,celibataire,1399718,Independant,101,4273348,29,16.82,scolaire,0,0,1,40.71,3.05,1,0.9999829547213155,1
35,F,divorce,116080,CDI,229,4585121,46,10.37,immobilier,0,0,0,53.94,39.5,1,1.0,1
42,F,divorce,1317445,Informel,29,2594372,68,13.94,conso,0,0,0,24.71,1.97,0,0.04025355525893275,0
50,H,marie,573844,Informel,146,1606510,53,8.66,auto,1,0,0,22.43,2.8,0,0.2493199694735399,0
64,H,divorce,1248859,CDI,221,776844,66,5.38,scolaire,1,0,0,22.99,0.62,0,0.0024098589413523563,0
57,F,marie,93338,Independant,134,1065607,53,11.8,conso,0,0,0,7.21,11.42,1,0.999989193178528,1
60,H,marie,680577,Informel,53,4209957,52,5.95,conso,0,0,0,56.83,6.19,1,0.9998662451063034,1
29,F,divorce,258982,Informel,210,3703347,61,9.86,scolaire,0,0,0,78.94,14.3,1,0.9999999999954539,1
61,H,marie,1237943,Informel,160,2130594,13,16.09,auto,1,2,0,28.18,1.72,0,0.08967506496588641,0
53,H,marie,408042,CDD,124,3133761,23,4.29,immobilier,1,0,0,74.74,7.68,1,0.9999992557257938,1
21,H,marie,1000958,Informel,42,2435308,28,3.46,scolaire,0,0,0,50.49,2.43,1,0.8370484799671581,1
22,F,marie,1477260,CDI,47,2769025,70,12.1,conso,0,0,0,21.87,1.87,0,0.02808899594213565,0
54,H,divorce,523853,CDI,159,3217422,51,7.97,scolaire,1,1,0,5.89,6.14,1,0.911377466500667,1
25,F,celibataire,740709,CDD,190,749748,71,9.27,scolaire,1,0,0,59.28,1.01,1,0.5746173659300342,1
59,H,celibataire,906395,CDD,184,1983768,27,9.09,auto,0,1,0,57.24,2.19,1,0.8829208606240658,1
45,F,marie,1073087,CDI,11,82835,70,4.3,auto,1,0,0,22.19,0.08,0,0.0010504175249380207,0
48,H,marie,437073,CDD,154,4442774,17,3.05,immobilier,0,0,0,29.95,10.16,1,0.9999965174919296,1
26,F,marie,679223,Informel,220,3738202,24,16.48,scolaire,1,0,0,72.35,5.5,1,0.9999677334233825,1
46,F,celibataire,880118,Independant,155,3437858,27,6.27,auto,0,0,0,16.79,3.91,1,0.3155747764471966,1
31,F,marie,1192104,Independant,83,356535,60,9.39,auto,0,2,0,67.66,0.3,1,0.5583667544640853,1
57,F,divorce,588907,Independant,185,3301586,67,17.58,conso,0,0,0,17.69,5.61,1,0.9415460374580897,1
58,F,divorce,1413507,CDI,109,1464919,56,15.4,auto,0,0,0,41.13,1.04,0,0.05128966934277611,0
39,F,divorce,1012280,CDD,27,1651265,53,4.62,scolaire,0,0,0,42.42,1.63,0,0.19642691668267762,0
28,H,celibataire,457757,Independant,187,632899,22,10.63,scolaire,1,0,0,40.41,1.38,0,0.21549014871912317,0
40,F,marie,1092567,Informel,62,1372922,18,13.95,conso,1,0,0,26.59,1.26,0,0.020527233259273452,0
18,F,marie,792787,Informel,148,4963032,33,13.48,conso,0,2,0,24.0,6.26,1,0.9966856133612781,1
63,F,marie,1233463,Informel,131,3188578,10,14.41,conso,0,0,0,59.99,2.59,1,0.9299902893527697,1
54,H,celibataire,1189662,CDD,144,4479195,65,9.86,scolaire,1,0,0,25.68,3.77,1,0.5687712564357441,1
38,H,celibataire,968663,Independant,103,1577450,20,5.64,scolaire,0,0,0,50.74,1.63,1,0.4352838518707424,1
43,H,celibataire,1384070,Informel,44,2670644,49,9.97,immobilier,0,0,1,68.5,1.93,1,0.9999970814539044,1
63,F,celibataire,588889,CDD,93,869567,51,12.72,auto,1,0,0,67.78,1.48,1,0.8751008059773471,1
53,H,divorce,357941,Informel,207,3283849,34,12.13,conso,1,0,0,17.54,9.17,1,0.9998973125984552,1
40,H,celibataire,1396022,Independant,30,163944,54,4.06,auto,0,0,0,54.11,0.12,1,0.05154059182138827,0
18,F,celibataire,536388,Independant,168,2403708,48,3.97,auto,1,2,0,50.17,4.48,1,0.9962735848999252,1
57,F,celibataire,642347,Independant,119,1736629,25,17.48,immobilier,0,0,0,26.15,2.7,0,0.19553799582988524,0
32,H,marie,211980,Independant,193,2210687,23,5.28,scolaire,0,0,0,34.36,10.43,1,0.9999988829839402,1
38,F,marie,223949,Independant,29,458113,69,7.42,auto,0,0,0,26.38,2.05,0,0.13016231091467004,0
64,F,marie,356383,Informel,30,2526624,54,14.51,conso,2,0,0,45.28,7.09,1,0.9998743038383036,1
26,F,divorce,1084475,Independant,104,541578,47,9.15,conso,0,0,0,65.27,0.5,1,0.4304128997384943,1
26,F,divorce,107313,Informel,110,4690928,17,5.72,scolaire,1,0,0,70.81,43.71,1,1.0,1
27,H,celibataire,1098394,Independant,32,4711350,41,10.01,scolaire,0,0,0,59.21,4.29,1,0.9968139778451444,1
43,F,marie,1170679,Informel,138,1808029,13,11.53,scolaire,0,0,0,41.26,1.54,0,0.1772503314984129,0
58,H,divorce,259480,Independant,219,3069163,33,9.79,conso,0,0,1,76.86,11.83,1,0.9999999999999809,1
52,H,marie,1217347,Informel,51,4097633,65,16.78,scolaire,0,0,0,47.29,3.37,1,0.9416713135397347,1
42,H,divorce,1254804,Independant,136,3473347,54,7.27,immobilier,0,0,0,40.89,2.77,0,0.6296356472775725,1
43,H,divorce,171665,CDD,179,1798841,43,12.92,immobilier,0,0,0,69.26,10.48,1,0.9999999907119851,1
28,F,celibataire,876966,Informel,36,4324174,63,4.68,conso,2,0,0,18.85,4.93,1,0.8069324245410529,1
55,F,celibataire,877399,CDD,234,2270988,10,8.88,immobilier,0,0,0,16.84,2.59,0,0.04847042437971262,0
19,F,divorce,817351,Informel,55,4750938,51,14.11,auto,0,1,0,63.69,5.81,1,0.9999412488680122,1
24,H,celibataire,931995,Informel,163,4337118,7,6.37,scolaire,2,0,0,70.29,4.65,1,0.9996716189362241,1
35,H,divorce,350804,Informel,36,4236548,30,11.85,immobilier,0,0,0,10.46,12.08,1,0.9999984728853104,1
44,H,divorce,564091,CDI,56,2898559,6,5.3,scolaire,0,0,0,62.31,5.14,1,0.9995343022520444,1
51,F,marie,209909,Independant,36,3167661,45,4.54,immobilier,0,0,0,36.83,15.09,1,0.999999999511056,1
44,H,celibataire,529058,CDD,89,3784414,21,10.85,scolaire,0,0,0,57.78,7.15,1,0.9999802791210285,1
34,F,celibataire,220688,CDD,212,2648230,59,13.13,conso,1,0,0,15.12,12.0,1,0.9999989116950785,1
60,F,celibataire,1204552,Informel,189,2304651,68,4.7,auto,0,0,0,77.98,1.91,1,0.9690218529135071,1
61,F,marie,1308386,CDD,62,2778958,23,16.77,scolaire,1,1,0,71.1,2.12,1,0.9688467898970972,1
41,F,marie,1403827,CDD,109,1208202,22,6.39,auto,1,0,0,35.45,0.86,0,0.023367139320727877,0
42,H,marie,958219,CDD,209,1474910,9,4.8,scolaire,1,0,1,72.0,1.54,1,0.9999979375705309,1
24,F,celibataire,359087,CDD,87,769050,14,6.04,conso,1,0,0,72.12,2.14,1,0.9823298107608153,1
23,H,celibataire,1169301,CDI,153,2423356,36,5.54,auto,0,0,1,39.59,2.07,1,0.9999258027114977,1
41,F,celibataire,614398,Informel,64,3639585,10,4.36,immobilier,0,0,0,76.02,5.92,1,0.999976533801081,1
50,H,marie,578864,CDD,188,3340407,21,14.97,auto,0,0,0,78.26,5.77,1,0.9999911754982004,1
46,H,marie,1407182,CDI,57,2735000,47,10.43,scolaire,0,0,0,21.29,1.94,0,0.0266962439558571,0
60,F,divorce,1469952,CDI,113,1293861,46,8.83,auto,1,0,0,10.0,0.88,0,0.0005071097706632134,0
39,F,marie,789441,Informel,223,4437152,35,17.26,conso,1,2,0,29.84,5.62,1,0.9947157710512327,1
43,F,divorce,526015,Independant,70,3186391,31,8.57,auto,1,0,0,41.66,6.06,1,0.9986156764529925,1
45,H,celibataire,670855,Independant,227,3879298,54,5.5,auto,1,2,0,11.95,5.78,1,0.9402539036903249,1
38,F,marie,562517,Independant,180,2715528,36,7.11,auto,0,0,0,15.55,4.83,1,0.7910718663026662,1
24,F,celibataire,922495,CDD,184,503251,55,6.58,immobilier,0,0,1,77.88,0.55,1,0.9999938967444657,1
34,H,celibataire,1241970,Informel,191,4255987,20,10.48,auto,1,0,0,60.3,3.43,1,0.9887447092783576,1
37,F,celibataire,228940,Independant,196,3067618,57,7.37,scolaire,1,0,0,70.62,13.4,1,0.9999999999016711,1
58,H,celibataire,1073477,CDD,232,937063,43,10.74,scolaire,0,0,0,77.84,0.87,1,0.8857878140942957,1
37,F,marie,423133,Informel,20,1816184,43,13.04,auto,1,1,0,33.36,4.29,1,0.9593868395544675,1
39,H,celibataire,1150798,CDD,233,2373760,65,14.66,auto,0,1,1,56.59,2.06,1,0.9999953777524041,1
45,H,divorce,159794,Independant,54,4732193,25,13.65,immobilier,1,0,0,18.8,29.61,1,1.0,1
57,F,marie,704142,Independant,1,4093949,49,6.08,conso,1,0,0,46.38,5.81,1,0.9985102017652667,1
24,H,celibataire,864326,CDI,237,375709,68,4.74,scolaire,2,0,0,20.74,0.43,0,0.0026907776782388168,0
18,F,marie,921081,CDI,90,4889046,55,11.14,immobilier,0,0,0,17.03,5.31,1,0.9224444328339239,1
49,F,divorce,445130,Informel,226,2846373,27,5.98,scolaire,0,1,0,12.38,6.39,1,0.9726619404800763,1
30,H,celibataire,848103,CDD,138,3890252,59,4.27,scolaire,1,0,0,48.48,4.59,1,0.9938153688332401,1
47,F,divorce,950181,CDD,151,656383,14,10.91,auto,1,0,0,76.24,0.69,1,0.8350050505984166,1
40,H,celibataire,313127,Independant,179,1599732,20,7.9,scolaire,0,0,0,14.17,5.11,1,0.826262335641991,1
36,H,divorce,584434,Independant,113,3309338,53,14.34,conso,0,0,0,42.67,5.66,1,0.998466159121155,1
49,H,celibataire,1269871,Informel,152,4944627,25,7.71,conso,0,1,0,56.53,3.89,1,0.9904721489812164,1
47,H,marie,1307814,CDI,13,2611595,40,17.68,conso,1,0,0,42.19,2.0,0,0.3698485764816871,1
46,H,celibataire,119369,Independant,157,164527,65,14.38,immobilier,0,0,0,73.38,1.38,1,0.9651165834423432,1
62,H,marie,952811,CDD,186,1444183,39,3.87,conso,1,0,0,17.47,1.52,0,0.009823521638504414,0
46,H,celibataire,413862,Independant,110,3632058,59,10.63,conso,1,0,0,6.81,8.78,1,0.9989605626728124,1
47,H,celibataire,790595,CDI,91,2619386,17,11.44,scolaire,0,0,0,33.73,3.31,1,0.6544373925991923,1
33,F,divorce,350114,CDD,95,1321865,24,13.43,immobilier,1,0,0,46.66,3.78,1,0.9778359337624104,1
57,F,divorce,127922,CDI,43,4247717,31,10.47,auto,2,0,0,24.09,33.21,1,1.0,1
36,H,divorce,897187,Informel,138,2830449,28,10.25,immobilier,2,0,0,17.63,3.15,1,0.19804381168776142,0
35,F,celibataire,1107903,Informel,159,4264867,38,8.52,immobilier,0,0,0,65.36,3.85,1,0.9965508000123705,1
18,F,celibataire,725214,CDI,231,4544023,62,7.07,auto,0,1,0,19.14,6.27,1,0.9890827259425236,1
31,F,celibataire,99416,CDD,74,2406757,35,17.19,auto,0,0,1,38.2,24.21,1,1.0,1
64,F,marie,93672,CDI,216,1105962,28,7.76,auto,0,0,0,76.59,11.81,1,0.999999999338705,1
19,F,marie,556684,Independant,225,1198820,41,3.95,scolaire,0,0,0,50.95,2.15,1,0.8081251924024423,1
45,F,celibataire,208145,Independant,14,3059637,48,5.51,scolaire,0,0,0,42.33,14.7,1,0.9999999993858073,1
47,H,divorce,782356,CDI,99,2852322,71,15.86,scolaire,0,0,0,32.02,3.65,1,0.7944712446390534,1
55,F,divorce,80064,Independant,109,4845158,58,11.8,conso,3,0,0,44.03,60.52,1,1.0,1
21,F,divorce,148835,CDI,162,4388514,65,14.68,auto,0,0,0,60.07,29.49,1,1.0,1
18,F,celibataire,1330033,Independant,145,1277017,42,15.13,scolaire,0,0,0,66.69,0.96,1,0.6647027395033496,1
25,F,divorce,1376371,CDI,149,388325,66,15.35,scolaire,0,1,0,53.74,0.28,1,0.11893821677571045,0
46,H,celibataire,429738,Independant,96,3744502,58,11.26,immobilier,0,0,0,64.27,8.71,1,0.9999994276695636,1
56,H,marie,721204,CDD,195,3152601,17,5.66,scolaire,0,0,0,11.63,4.37,1,0.4821081866842709,1
20,H,divorce,931098,CDD,58,3766573,40,5.22,auto,0,0,0,6.08,4.05,1,0.22785474717104112,0
49,H,marie,1323922,Independant,207,3936049,43,11.61,auto,1,0,0,60.08,2.97,1,0.9746780731448799,1
27,F,divorce,984726,CDI,136,1307379,29,8.5,conso,0,0,1,24.63,1.33,1,0.9979137057108568,1
27,H,celibataire,1401586,Independant,96,3212222,45,11.37,conso,0,0,0,70.83,2.29,1,0.972532381166466,1
36,H,celibataire,1132465,Informel,38,4659091,70,10.48,immobilier,0,0,0,45.19,4.11,1,0.9753437570235943,1
63,H,celibataire,1246770,Informel,154,4540934,62,12.03,conso,0,0,0,40.89,3.64,1,0.8728710572481825,1
51,H,celibataire,1253290,CDI,64,269508,50,3.48,auto,2,0,0,62.96,0.22,1,0.16879609263354795,0
50,F,divorce,1045730,Independant,158,635923,18,3.49,conso,0,0,0,60.58,0.61,1,0.2447189246826884,0
40,H,marie,1179123,Independant,9,2195966,11,13.82,conso,0,0,0,57.82,1.86,1,0.7899069104920671,1
45,F,celibataire,237234,CDD,121,697429,52,5.9,scolaire,0,0,0,56.74,2.94,1,0.9637839359007107,1
49,H,divorce,824809,CDI,32,4306667,49,12.78,auto,2,0,0,43.65,5.22,1,0.9958710493996314,1
24,F,marie,760047,Informel,11,2120301,37,11.2,immobilier,0,0,0,74.49,2.79,1,0.9963120010368278,1
46,F,celibataire,353139,Informel,214,2190314,8,17.73,conso,1,0,0,71.8,6.2,1,0.9999843570869876,1
25,H,marie,529704,CDI,162,297364,59,15.53,conso,1,0,0,29.71,0.56,0,0.025013553437387547,0
18,H,celibataire,1131207,Informel,105,4895675,43,9.2,immobilier,0,0,1,65.35,4.33,1,0.9999999659185772,1
20,H,marie,217039,CDI,146,4776182,9,12.25,immobilier,1,0,0,71.83,22.01,1,1.0,1
41,H,marie,954726,Informel,147,455350,22,4.76,auto,0,0,0,51.37,0.48,1,0.151446761351727,0
40,F,celibataire,1477998,Informel,182,442235,42,8.8,immobilier,0,0,0,46.67,0.3,0,0.028091897361235317,0
25,F,divorce,668759,CDI,82,1178413,41,14.01,conso,0,1,0,55.39,1.76,1,0.7947838470565616,1
64,H,marie,379260,CDI,37,3299125,63,12.34,auto,1,1,0,17.23,8.7,1,0.9997904658873084,1
54,H,celibataire,651952,Informel,82,771180,46,10.27,auto,1,0,1,11.55,1.18,1,0.9883733347119676,1
20,F,marie,763429,Informel,12,1399054,13,5.65,immobilier,0,1,0,66.51,1.83,1,0.9497987793400465,1
50,H,marie,1215918,CDD,4,4370985,35,15.05,auto,1,0,0,48.0,3.59,1,0.9641128713320581,1
45,F,divorce,94407,Independant,239,1707058,57,7.1,conso,0,0,0,14.19,18.08,1,0.9999999999431335,1
64,H,marie,1242502,CDI,43,2830955,30,15.31,conso,0,0,0,36.22,2.28,0,0.265195591515576,0
25,F,marie,401345,CDI,155,840404,57,12.17,conso,0,0,0,27.37,2.09,0,0.1778611212719163,0
51,F,celibataire,946525,Independant,51,2212088,64,8.59,auto,1,0,0,70.66,2.34,1,0.968361194235575,1
52,F,celibataire,527564,CDD,5,2095295,35,3.61,immobilier,0,1,0,43.04,3.97,1,0.9553491354860981,1
49,F,divorce,163100,Informel,134,4354181,9,6.49,conso,0,0,0,48.31,26.7,1,1.0,1
41,F,marie,574308,Informel,205,4535967,62,16.34,scolaire,0,0,0,22.65,7.9,1,0.9996290148162145,1
31,H,marie,1351635,CDD,87,2511713,68,15.27,immobilier,1,0,0,64.93,1.86,1,0.9332214862013449,1
49,F,marie,1378972,CDD,106,4717434,37,11.62,auto,0,0,0,74.76,3.42,1,0.9979618860019754,1
63,H,divorce,397006,Independant,56,3533736,56,9.99,conso,0,0,0,64.44,8.9,1,0.9999994924290955,1
60,F,marie,1087126,Independant,217,4531180,68,12.71,auto,0,0,0,41.96,4.17,1,0.9645156398678262,1
33,F,celibataire,1079529,Informel,110,4917337,6,9.99,conso,0,0,0,67.63,4.56,1,0.9992282910336117,1
21,H,divorce,108004,CDD,68,125909,24,12.66,auto,0,0,0,19.1,1.17,0,0.023420060031922412,0
54,H,celibataire,886903,CDD,96,4492575,40,7.61,scolaire,0,0,0,13.51,5.07,1,0.738395776079913,1
38,H,celibataire,604252,Informel,44,4041275,68,15.58,auto,1,1,0,37.87,6.69,1,0.9996232493413783,1
31,H,divorce,696108,Informel,143,952275,31,13.53,auto,0,0,0,18.62,1.37,0,0.017447988208325528,0
48,F,celibataire,1319815,Informel,90,2199092,18,7.95,auto,0,0,0,24.44,1.67,0,0.017109266133091796,0
35,H,marie,557044,Informel,42,4118385,28,15.46,conso,0,1,0,48.88,7.39,1,0.9999790212602352,1
24,F,divorce,931740,Informel,139,4840354,40,10.31,immobilier,0,0,0,35.29,5.19,1,0.9889975518264984,1
27,H,celibataire,1474689,Independant,73,2316243,17,5.62,auto,2,0,1,69.94,1.57,1,0.9999947794857974,1
24,H,marie,1143144,Informel,11,4739323,14,4.17,immobilier,0,0,0,21.92,4.15,1,0.7024470089320689,1
50,F,marie,1108464,CDD,194,4853425,49,13.49,conso,1,0,0,79.76,4.38,1,0.9998476692082273,1
40,F,celibataire,1350705,CDI,237,2032667,66,15.98,auto,1,0,0,31.95,1.5,0,0.04836007662014366,0
38,H,marie,968640,Independant,155,3476078,26,15.11,conso,0,0,1,43.66,3.59,1,0.9999981267493357,1
36,F,divorce,226539,CDD,58,1976479,12,12.83,immobilier,0,1,0,14.92,8.72,1,0.9997413210438975,1
36,F,celibataire,1095059,CDI,218,1980177,16,5.12,conso,0,0,0,48.45,1.81,0,0.3874492353744271,1
53,F,marie,227748,Independant,200,3992896,50,4.41,conso,1,0,0,77.1,17.53,1,0.9999999999999647,1
46,F,marie,1223367,Informel,128,3564809,37,8.18,immobilier,2,0,0,61.2,2.91,1,0.9691917038717309,1
35,F,celibataire,766874,Independant,21,2809483,41,15.82,conso,0,0,0,23.3,3.66,1,0.4817770317416878,1
19,F,celibataire,975150,Informel,21,518259,42,17.43,immobilier,0,0,0,38.2,0.53,0,0.03211977709384852,0
18,F,celibataire,626938,Informel,72,3021286,46,6.62,immobilier,1,1,0,36.91,4.82,1,0.9855561117945926,1
64,F,celibataire,430434,Informel,129,927742,54,14.43,auto,0,0,0,12.35,2.16,0,0.01809182477415122,0
22,H,divorce,1206277,CDI,102,629443,20,11.61,auto,0,0,0,71.44,0.52,1,0.6994642025974985,1
37,F,celibataire,309164,Independant,186,1227067,18,3.48,conso,2,0,0,33.61,3.97,1,0.8613491308352155,1
28,H,divorce,685266,Informel,13,4910772,58,11.14,conso,1,0,0,42.07,7.17,1,0.9998793154862113,1
59,F,divorce,739089,CDD,73,2749053,38,15.09,conso,0,0,0,26.84,3.72,1,0.6227694950089507,1
19,F,celibataire,635639,Independant,220,1037215,37,7.14,scolaire,1,0,0,16.43,1.63,0,0.013168585888423737,0
20,F,divorce,1453464,CDD,6,4301242,53,16.46,scolaire,0,1,0,72.66,2.96,1,0.9955342701493253,1
40,F,celibataire,759706,CDI,239,675451,62,6.54,auto,1,0,0,7.8,0.89,0,0.000913898884698068,0
29,H,celibataire,986630,CDI,215,278861,67,4.15,immobilier,1,0,0,34.99,0.28,0,0.011555271572563832,0
37,H,marie,940587,Independant,112,592039,7,5.4,scolaire,0,0,0,59.8,0.63,1,0.37255636136328224,1
22,F,celibataire,1250025,CDI,228,2348970,21,15.56,scolaire,0,0,0,28.16,1.88,0,0.06630828802679789,0
54,H,marie,680988,CDI,186,1393110,13,9.26,immobilier,1,0,0,38.45,2.05,0,0.3574689594464373,1
55,F,divorce,839774,Independant,17,2510509,24,14.95,conso,0,0,0,47.34,2.99,0,0.8403839616976835,1
47,F,marie,1386147,CDD,73,2255864,37,10.97,conso,0,0,0,79.63,1.63,1,0.9695023432610902,1
26,H,divorce,543506,Informel,12,110403,37,10.21,scolaire,1,1,0,61.87,0.2,1,0.4310808772698635,1
51,H,celibataire,517509,Independant,86,863291,30,15.1,scolaire,0,0,0,77.53,1.67,1,0.9780729657073017,1
61,F,divorce,796696,Independant,180,4134110,58,9.35,immobilier,0,0,0,56.99,5.19,1,0.9989644996726545,1
52,F,divorce,888094,Informel,122,4867716,30,15.03,immobilier,0,0,0,25.18,5.48,1,0.9689231858674421,1
39,H,celibataire,343369,CDD,204,700228,38,4.51,scolaire,0,0,0,26.56,2.04,0,0.12114605455184,0
61,F,divorce,1009700,Informel,70,863532,36,12.54,immobilier,0,0,0,66.68,0.86,1,0.5913861677189286,1
41,H,celibataire,543002,Informel,108,503192,41,13.54,conso,1,1,0,37.08,0.93,0,0.08439333309063232,0
34,F,marie,1275020,CDD,201,1007527,54,16.49,auto,0,0,0,32.77,0.79,0,0.027270940465073033,0
27,F,celibataire,861608,CDD,52,4099510,49,6.36,scolaire,0,0,0,75.88,4.76,1,0.999842774240097,1
47,H,celibataire,1238977,Informel,37,490925,53,12.06,auto,1,0,0,5.99,0.4,0,0.00023538306815315438,0
63,H,divorce,1355377,Informel,117,1568345,35,9.5,immobilier,2,0,0,44.37,1.16,0,0.10028114112775115,0
40,H,marie,851668,Independant,3,1725621,18,8.74,auto,0,1,1,63.13,2.03,1,0.9999977696184766,1
49,F,celibataire,249259,CDD,226,659337,48,4.6,scolaire,1,1,0,60.21,2.65,1,0.9690536354198542,1
34,F,marie,327145,CDI,8,2324702,21,5.01,immobilier,2,0,1,32.57,7.11,1,0.9999999775072653,1
34,F,marie,390625,CDD,138,890200,31,15.55,auto,1,0,0,45.17,2.28,0,0.7849896431588274,1
31,F,divorce,763835,Informel,47,3662566,52,14.25,conso,0,0,0,5.42,4.79,1,0.4606393566220243,1
26,H,celibataire,1173128,Informel,169,2143448,42,8.74,scolaire,1,0,0,45.11,1.83,0,0.4057266511338131,1
57,F,divorce,279041,Informel,64,548909,8,15.43,scolaire,0,2,0,49.28,1.97,0,0.7511992812926324,1
19,F,celibataire,1336182,Informel,42,2822296,31,4.21,scolaire,0,0,0,70.61,2.11,1,0.9506921001362155,1
62,F,marie,866157,CDI,43,3193027,20,12.37,scolaire,0,0,0,20.81,3.69,1,0.3609780051436742,1
42,H,celibataire,809846,CDD,125,3731790,71,16.02,immobilier,1,1,0,66.89,4.61,1,0.9996706729854258,1
56,F,celibataire,154474,CDI,137,3886056,33,15.58,conso,1,0,0,58.85,25.16,1,1.0,1
26,F,marie,367312,CDI,14,1410855,43,8.59,conso,0,0,0,54.95,3.84,1,0.9923823753400766,1
39,H,marie,282252,Informel,229,4136239,49,14.18,auto,0,0,0,34.58,14.65,1,0.9999999994912956,1
60,F,celibataire,1452175,CDI,91,4315891,58,9.41,scolaire,0,0,0,32.56,2.97,0,0.2749337228938373,0
63,F,divorce,658528,Informel,233,4210344,9,15.6,scolaire,0,0,0,57.74,6.39,1,0.9999083253708078,1
21,H,celibataire,416940,Informel,224,4303621,49,10.96,auto,1,0,0,79.27,10.32,1,0.9999999971336548,1
43,F,marie,332051,Informel,132,748735,51,14.47,immobilier,0,0,0,35.4,2.25,0,0.4546462676539949,1
46,F,divorce,1230187,CDI,2,1604026,31,4.18,conso,0,0,0,73.89,1.3,1,0.837654955857851,1
62,F,marie,96488,Informel,115,2090696,18,11.85,scolaire,0,0,0,48.99,21.67,1,0.9999999999999987,1
51,H,marie,1318489,CDI,225,4967083,49,11.25,auto,0,0,0,70.11,3.77,1,0.9983830672057847,1
40,F,divorce,460665,CDD,213,3822142,58,12.15,conso,1,0,0,21.29,8.3,1,0.9997227473895125,1
54,F,marie,788029,Informel,1,2155490,56,13.43,auto,0,0,0,62.17,2.74,1,0.9732361258308493,1
28,H,marie,746205,Independant,236,3873095,18,16.77,auto,0,0,1,67.62,5.19,1,0.9999999969882019,1
23,H,marie,1146970,Independant,75,314621,46,14.79,immobilier,0,0,0,67.41,0.27,1,0.5435384572707299,1
35,F,marie,960425,Independant,65,4978335,16,6.29,conso,0,0,0,63.85,5.18,1,0.9996247630821848,1
